region,unemployment,month,earthquake,period,zone
I,7.4,2009m3,0,-1,0
I,7.2,2009m4,0,-1,0
I,6.7,2009m5,0,-1,0
I,6.1,2009m6,0,-1,0
I,5.7,2009m7,0,-1,0
I,6.4,2009m8,0,-1,0
I,6.6,2009m9,0,-1,0
I,7,2009m10,0,-1,0
I,7.1,2009m11,0,-1,0
I,6.4,2009m12,0,-1,0
I,7.2,2010m1,0,-1,0
I,6.6,2010m2,0,-1,0
I,6.6,2010m3,1,0,0
I,5.6,2010m4,1,0,0
I,5.9,2010m5,1,0,0
I,6,2010m6,1,0,0
I,4.9,2010m7,1,0,0
I,4.5,2010m8,1,0,0
I,4.1,2010m9,1,0,0
I,4.8,2010m10,1,0,0
I,5,2010m11,1,0,0
I,4.9,2010m12,1,0,0
I,6.3,2011m1,1,0,0
I,6.1,2011m2,1,0,0
I,6.7,2011m3,1,1,0
I,5,2011m4,1,1,0
I,4.7,2011m5,1,1,0
I,4.7,2011m6,1,1,0
I,4.9,2011m7,1,1,0
I,4.7,2011m8,1,1,0
I,4.8,2011m9,1,1,0
I,4.3,2011m10,1,1,0
I,4.8,2011m11,1,1,0
I,5,2011m12,1,1,0
I,5.2,2012m1,1,1,0
I,4.8,2012m2,1,1,0
I,4.8,2012m3,1,2,0
I,4.4,2012m4,1,2,0
I,4.9,2012m5,1,2,0
I,4.2,2012m6,1,2,0
I,4.6,2012m7,1,2,0
I,4.1,2012m8,1,2,0
I,4.3,2012m9,1,2,0
I,4.3,2012m10,1,2,0
I,4.5,2012m11,1,2,0
I,3.6,2012m12,1,2,0
I,4.8,2013m1,1,2,0
I,4.4,2013m2,1,2,0
I,5.6,2013m3,1,3,0
I,6.7,2013m4,1,3,0
I,7.6,2013m5,1,3,0
I,7.5,2013m6,1,3,0
I,5.9,2013m7,1,3,0
I,6.6,2013m8,1,3,0
I,6.1,2013m9,1,3,0
I,6.3,2013m10,1,3,0
I,5.2,2013m11,1,3,0
I,5.9,2013m12,1,3,0
I,6.7,2014m1,1,3,0
I,6.5,2014m2,1,3,0
II,8.5,2009m3,0,-1,0
II,8.9,2009m4,0,-1,0
II,9,2009m5,0,-1,0
II,8.5,2009m6,0,-1,0
II,8.9,2009m7,0,-1,0
II,9,2009m8,0,-1,0
II,9,2009m9,0,-1,0
II,9.6,2009m10,0,-1,0
II,8.8,2009m11,0,-1,0
II,8.6,2009m12,0,-1,0
II,8.4,2010m1,0,-1,0
II,8.6,2010m2,0,-1,0
II,8.6,2010m3,1,0,0
II,7,2010m4,1,0,0
II,7.7,2010m5,1,0,0
II,6.9,2010m6,1,0,0
II,7.8,2010m7,1,0,0
II,7.9,2010m8,1,0,0
II,7.6,2010m9,1,0,0
II,7.2,2010m10,1,0,0
II,6.9,2010m11,1,0,0
II,7.5,2010m12,1,0,0
II,7.1,2011m1,1,0,0
II,7.3,2011m2,1,0,0
II,6.3,2011m3,1,1,0
II,6,2011m4,1,1,0
II,5.8,2011m5,1,1,0
II,5.9,2011m6,1,1,0
II,5.4,2011m7,1,1,0
II,5.3,2011m8,1,1,0
II,5.5,2011m9,1,1,0
II,5.2,2011m10,1,1,0
II,6.2,2011m11,1,1,0
II,6.7,2011m12,1,1,0
II,6.7,2012m1,1,1,0
II,4.9,2012m2,1,1,0
II,5,2012m3,1,2,0
II,5.4,2012m4,1,2,0
II,5.6,2012m5,1,2,0
II,4.4,2012m6,1,2,0
II,3.9,2012m7,1,2,0
II,4.1,2012m8,1,2,0
II,4.8,2012m9,1,2,0
II,5.3,2012m10,1,2,0
II,4.9,2012m11,1,2,0
II,5.5,2012m12,1,2,0
II,5.4,2013m1,1,2,0
II,5.8,2013m2,1,2,0
II,5,2013m3,1,3,0
II,4.8,2013m4,1,3,0
II,5.1,2013m5,1,3,0
II,5.1,2013m6,1,3,0
II,5.2,2013m7,1,3,0
II,5.2,2013m8,1,3,0
II,5.2,2013m9,1,3,0
II,6.3,2013m10,1,3,0
II,5.9,2013m11,1,3,0
II,6.7,2013m12,1,3,0
II,6.5,2014m1,1,3,0
II,7.4,2014m2,1,3,0
III,10.1,2009m3,0,-1,0
III,12.3,2009m4,0,-1,0
III,12.9,2009m5,0,-1,0
III,13.9,2009m6,0,-1,0
III,12.2,2009m7,0,-1,0
III,11.7,2009m8,0,-1,0
III,9.2,2009m9,0,-1,0
III,8.9,2009m10,0,-1,0
III,8.2,2009m11,0,-1,0
III,6.4,2009m12,0,-1,0
III,6.9,2010m1,0,-1,0
III,7.5,2010m2,0,-1,0
III,9.4,2010m3,1,0,0
III,8,2010m4,1,0,0
III,8.9,2010m5,1,0,0
III,8.2,2010m6,1,0,0
III,8,2010m7,1,0,0
III,6.3,2010m8,1,0,0
III,6.1,2010m9,1,0,0
III,6.8,2010m10,1,0,0
III,6.4,2010m11,1,0,0
III,6.1,2010m12,1,0,0
III,7,2011m1,1,0,0
III,7.4,2011m2,1,0,0
III,7.8,2011m3,1,1,0
III,5.8,2011m4,1,1,0
III,6.2,2011m5,1,1,0
III,5,2011m6,1,1,0
III,5.3,2011m7,1,1,0
III,5,2011m8,1,1,0
III,6.1,2011m9,1,1,0
III,6,2011m10,1,1,0
III,6.4,2011m11,1,1,0
III,5.1,2011m12,1,1,0
III,5.7,2012m1,1,1,0
III,5.6,2012m2,1,1,0
III,5.3,2012m3,1,2,0
III,5,2012m4,1,2,0
III,4.2,2012m5,1,2,0
III,4.1,2012m6,1,2,0
III,3.7,2012m7,1,2,0
III,3.9,2012m8,1,2,0
III,3.8,2012m9,1,2,0
III,3.8,2012m10,1,2,0
III,4.4,2012m11,1,2,0
III,6.1,2012m12,1,2,0
III,7.3,2013m1,1,2,0
III,6.8,2013m2,1,2,0
III,5.4,2013m3,1,3,0
III,5,2013m4,1,3,0
III,5.4,2013m5,1,3,0
III,5.6,2013m6,1,3,0
III,5.6,2013m7,1,3,0
III,5.4,2013m8,1,3,0
III,5.6,2013m9,1,3,0
III,5.7,2013m10,1,3,0
III,5.4,2013m11,1,3,0
III,5.2,2013m12,1,3,0
III,6,2014m1,1,3,0
III,6.9,2014m2,1,3,0
IV,9.5,2009m3,0,-1,0
IV,10,2009m4,0,-1,0
IV,10.7,2009m5,0,-1,0
IV,10.5,2009m6,0,-1,0
IV,10.4,2009m7,0,-1,0
IV,10.1,2009m8,0,-1,0
IV,9.6,2009m9,0,-1,0
IV,9,2009m10,0,-1,0
IV,8.6,2009m11,0,-1,0
IV,8.7,2009m12,0,-1,0
IV,8.1,2010m1,0,-1,0
IV,9.6,2010m2,0,-1,0
IV,10,2010m3,1,0,0
IV,9.4,2010m4,1,0,0
IV,9.2,2010m5,1,0,0
IV,8.1,2010m6,1,0,0
IV,8.4,2010m7,1,0,0
IV,7.6,2010m8,1,0,0
IV,7.8,2010m9,1,0,0
IV,8,2010m10,1,0,0
IV,7.3,2010m11,1,0,0
IV,7.3,2010m12,1,0,0
IV,7.3,2011m1,1,0,0
IV,7.4,2011m2,1,0,0
IV,8.5,2011m3,1,1,0
IV,7.4,2011m4,1,1,0
IV,8.4,2011m5,1,1,0
IV,8.4,2011m6,1,1,0
IV,8.1,2011m7,1,1,0
IV,7.4,2011m8,1,1,0
IV,7.4,2011m9,1,1,0
IV,6.6,2011m10,1,1,0
IV,6,2011m11,1,1,0
IV,5.5,2011m12,1,1,0
IV,6.1,2012m1,1,1,0
IV,6.7,2012m2,1,1,0
IV,6.8,2012m3,1,2,0
IV,6.3,2012m4,1,2,0
IV,5.7,2012m5,1,2,0
IV,5.1,2012m6,1,2,0
IV,5.3,2012m7,1,2,0
IV,5.8,2012m8,1,2,0
IV,6.4,2012m9,1,2,0
IV,6.7,2012m10,1,2,0
IV,6.3,2012m11,1,2,0
IV,5.5,2012m12,1,2,0
IV,5.2,2013m1,1,2,0
IV,5.7,2013m2,1,2,0
IV,6.3,2013m3,1,3,0
IV,7.2,2013m4,1,3,0
IV,7.4,2013m5,1,3,0
IV,7.5,2013m6,1,3,0
IV,7.4,2013m7,1,3,0
IV,6.8,2013m8,1,3,0
IV,6.5,2013m9,1,3,0
IV,6.7,2013m10,1,3,0
IV,6.6,2013m11,1,3,0
IV,6.1,2013m12,1,3,0
