Grafico: Precio Nominal Cobre Diario (¢/lb)1;
02/01/2008;302.37
03/01/2008;306.86
04/01/2008;317.08
07/01/2008;313.68
08/01/2008;322.32
09/01/2008;333.44
10/01/2008;322.98
11/01/2008;326.41
14/01/2008;333.89
15/01/2008;327.74
16/01/2008;318.42
17/01/2008;323.03
18/01/2008;320.33
21/01/2008;313.43
22/01/2008;313.89
23/01/2008;317.54
24/01/2008;321.69
25/01/2008;322.96
28/01/2008;312.66
29/01/2008;325.27
30/01/2008;325
31/01/2008;325.25
01/02/2008;333.16
04/02/2008;330.9
05/02/2008;326.68
06/02/2008;325.73
07/02/2008;333.39
08/02/2008;345.28
11/02/2008;354.73
12/02/2008;354.03
13/02/2008;348.38
14/02/2008;352.71
15/02/2008;353.85
18/02/2008;360.38
19/02/2008;366.5
20/02/2008;367.46
21/02/2008;375.62
22/02/2008;377.48
25/02/2008;374.08
26/02/2008;375.17
27/02/2008;386.28
28/02/2008;384.19
29/02/2008;387.39
03/03/2008;388.5
04/03/2008;393.95
05/03/2008;381.74
06/03/2008;402.84
07/03/2008;392.81
10/03/2008;381.04
11/03/2008;388.3
12/03/2008;379.02
13/03/2008;387.82
14/03/2008;390.59
17/03/2008;379.2
18/03/2008;375.8
19/03/2008;372.42
20/03/2008;353.3
25/03/2008;373.76
26/03/2008;374.67
27/03/2008;383.6
28/03/2008;387.37
31/03/2008;386.46
01/04/2008;377.64
02/04/2008;383.92
03/04/2008;389.68
04/04/2008;392.13
07/04/2008;396.44
08/04/2008;393.81
09/04/2008;392.36
10/04/2008;402.99
11/04/2008;399.62
14/04/2008;393.7
15/04/2008;395.53
16/04/2008;396.28
17/04/2008;401.95
18/04/2008;391.45
21/04/2008;391.97
22/04/2008;397.8
23/04/2008;398.98
24/04/2008;394.65
25/04/2008;390.09
28/04/2008;396.71
29/04/2008;396.44
30/04/2008;392.58
01/05/2008;393.99
02/05/2008;380.56
06/05/2008;391.09
07/05/2008;391.95
08/05/2008;383.74
09/05/2008;381.02
12/05/2008;375.39
13/05/2008;381.47
14/05/2008;371.04
15/05/2008;379.2
16/05/2008;384.19
19/05/2008;387.37
20/05/2008;379.2
21/05/2008;380.79
22/05/2008;381.93
23/05/2008;375.48
27/05/2008;379.93
28/05/2008;370.86
29/05/2008;367.86
30/05/2008;367.64
02/06/2008;361.97
03/06/2008;365.6
04/06/2008;363.15
